word	x	y	nearest
其中	77.0558163819	-29.841459055	0.646
一时期	81.9177625203	29.2497088397	0.677
睁大眼睛	10.9360141364	-4.36322990523	0.504
阿凉	-11.6734696852	4.96863700578	0.460
日常生活	15.5880979521	3.32042664084	0.483
薛晓路	-67.1755546521	-1.59794694556	0.412
齐喊	-43.4533444295	26.1712752587	0.435
而且	58.2383906909	-9.88203316748	0.691
学业成绩	52.6682061295	-96.3782317392	0.575
陶莉萍	-67.9411097925	40.3639586333	0.437
主见	40.3724266554	-63.0307897959	0.527
冷酷	38.0186514031	-66.1111106559	0.695
刘奶	5.27274592344	39.2501578648	0.629
劳碌	-28.0520700581	16.3092022948	0.445
合作	51.2546074637	-29.2466618692	0.426
激动	23.059705961	53.1445730336	0.570
满有	-27.9227021346	28.3475046253	0.535
除	67.6192579683	-30.7446106704	0.623
二六	-80.6362936034	-24.8428755098	0.424
侄儿	-69.0735362851	-79.8804333652	0.608
应该	66.0006688788	4.84983879034	0.654
悟君会	-26.2510260719	-28.4778301959	0.470
客串	-67.834673195	-3.12330393221	0.500
其次	7.18469402312	-17.0578636017	0.495
没道理	-39.8478977406	40.9789333821	0.471
知觉	28.8159912852	-31.0768561762	0.591
人有	73.1843601687	-33.4537717479	0.487
享受	54.2526163401	-46.0491902986	0.501
藤袴美衣	-46.5793856903	-20.1293402315	0.512
讲述	-20.7589777064	92.8055933966	0.641
令到	23.1941394829	21.6391123118	0.538
甘苦谈	-46.5359490046	23.8232464242	0.465
无广告	109.728677463	-0.184810885959	0.617
谢安真	-34.9258453804	46.9390772975	0.626
追击	-103.628353678	6.60202137959	0.519
担心	27.2713681343	59.6220423515	0.497
文库	-33.5131662171	-62.9542489831	0.627
尸体	4.66353034073	13.270165788	0.518
心脏病发	-62.4226771055	-92.2716202097	0.608
轻松	-42.5683346875	37.2319292978	0.427
albirex	-32.3518939986	-47.518689394	0.335
周学昌	-74.3186108366	-26.0912317807	0.467
裂境	-15.6213035513	-13.3502826097	0.535
所守	-51.2556973397	-67.2120065486	0.653
小孩子	51.1018367291	-64.864544179	0.693
孙仅	-16.0682716735	-84.4421456983	0.695
或许	61.147940991	3.81715742061	0.610
捆起来	-3.75638891648	1.68879830897	0.497
担忧	30.6145171453	59.0183330362	0.616
感受	16.8157437566	55.841288809	0.633
里	-25.1356970832	-43.4199891825	0.505
南非洲	11.6890229141	-45.1356020766	0.575
降落点	12.2927875869	-12.8731897228	0.430
斗琳	-20.1524083493	-9.01663280698	0.617
林怡珍	-41.5484254521	-13.6861984	0.554
愤慨	32.5417879402	58.9483193887	0.613
承诺	48.1490510965	57.5350273053	0.477
冷漠	37.0386893253	-64.5858297705	0.703
觉得	61.1127046574	6.36779526854	0.541
淡远楼	-16.2477760029	-48.066878111	0.563
衰退期	80.6442556597	54.3664449469	0.459
搞清楚	-28.3182946779	64.4562961179	0.553
对立	74.2887430872	69.5505314705	0.510
友情	-67.8963622431	10.1492051336	0.507
姊妹篇	-3.26026938583	-80.1635391097	0.521
够级	7.25001372208	-16.4359135567	0.452
车祸	-63.530391499	-92.1258975085	0.701
鸿	-89.0335029004	29.4795240744	0.620
钟国梁	-73.1347270503	-43.0838506374	0.489
脱下来	17.8358163542	-7.80025595314	0.479
不论是	94.7467133031	16.9155972582	0.553
到	36.3276939876	9.4344183411	0.538
拾参	-73.597727257	26.8736432766	0.343
那个	45.2321993345	17.0512687183	0.564
男孩子	51.3865439956	-65.4937583121	0.669
能	86.330971423	-1.46530689342	0.844
指路	-41.8180499377	-5.31785090555	0.430
丐世	-71.0381956935	1.50315196986	0.638
羞于	5.83701391176	37.2281325372	0.576
陈小菁	-58.9755649427	-9.46125625401	0.610
盒子	28.5796300087	-12.5393609203	0.484
安得	-52.3123654721	-67.9232927336	0.679
债息	-31.1377931709	-82.9293516224	0.536
车票价	-16.631461385	-43.1270247484	0.431
布局	-3.98674606263	-51.653886098	0.516
如同	50.8132787566	-2.0496742359	0.505
锦野豪	-26.9812014887	-29.6254216411	0.618
心事重重	-75.4904530449	48.8942534144	0.591
父母	67.5209556888	-76.3477462316	0.680
那好	-12.2994666537	16.6083176476	0.641
不必	78.470847948	6.42121845706	0.476
却是	3.77182056855	27.1551827468	0.669
skinship	-41.4840231184	30.2209521473	0.407
尘世间	-18.8017513066	16.3278015537	0.450
蛋包饭	-45.3428923209	-101.538306015	0.653
那次	101.455856334	-24.6263728637	0.571
不苟言笑	41.6325688385	-63.6295368879	0.728
一九八九年	-13.8558041298	-80.1658138086	0.543
之前	41.1455175318	7.16151442339	0.417
陌影	-55.4547881535	-4.62737179672	0.461
递交	50.7804558091	58.1402625617	0.510
挂	31.3654867399	1.7604119318	0.370
中公	-31.6762610409	-61.6935717307	0.604
福武	-44.7010181179	-33.0612507001	0.596
江畑谅	-52.3014770858	-39.592771493	0.427
出去	-10.4285516071	78.3676288985	0.574
说说话	-13.6956895738	29.0481708385	0.508
希森安德	-35.1424687272	-34.3656920599	0.683
遭到	46.0993931699	33.460792429	0.611
小孩	-30.4233143978	49.0600317459	0.529
更为	46.2742543477	-18.8702269812	0.621
张翰扬	-56.5473151802	5.25264832968	0.321
打开	29.2929037472	-5.03020243564	0.625
冷雨	-85.1155558037	42.5974066592	0.462
耿耿于怀	20.3741001579	46.0967533404	0.599
收留	-2.68434018517	43.4913751346	0.461
驒	-53.033108382	-47.4541030926	0.422
不怎么	42.9826773082	-54.0879863907	0.669
期短	18.9621778357	-55.6769200175	0.522
分辨	52.8322864965	-37.6760950074	0.473
本来	54.9057231028	13.5962818138	0.486
努力	23.6651694978	78.118867909	0.619
大	-48.7178966916	-24.3330511208	0.539
太	-55.4446508638	-38.482945542	0.618
寒冷	17.602871323	-60.3481658839	0.549
只花	90.9630374898	29.4002480068	0.498
望著	-16.4568664629	59.9909512117	0.563
被迫	44.2560886238	37.5886115956	0.714
等片	-61.6301117736	-1.47429501299	0.419
外销	-6.42024557052	-31.9191942004	0.462
亲历记	-67.3371344669	-28.7960889315	0.508
卡日丹	-33.7340072599	-33.9004389406	0.595
升学	50.1910886252	-97.2917666706	0.590
视力	24.5522324452	7.26346307634	0.539
桂圆	-47.9049535694	-106.798051413	0.579
醒来时	-3.60374475573	63.5460965154	0.567
三立华剧	-63.1972196152	46.8307354046	0.649
论文选	-8.45634971651	-92.7335992864	0.636
外	67.7232576046	-29.7427747622	0.754
两人成	-6.00817319105	40.2534159427	0.589
多	75.3231270591	-14.7412358544	0.497
宗教信仰	-52.6763859523	94.7049161987	0.619
坏毛病	12.6695264798	1.40421313882	0.491
主笔	11.1563201316	-109.841029547	0.615
可婕	-17.0278206289	-9.18612277961	0.460
勇敢	-26.7194753695	39.5822700353	0.472
霎时	-54.3019427354	13.7805810386	0.461
积极	21.8504605815	78.8962573225	0.562
雪中情	-79.7555770229	43.2299564546	0.559
我要	-55.0377818908	60.572990615	0.577
迎接	-5.96324654158	-41.8532239781	0.448
东西	60.2130673133	13.1122908246	0.563
逗趣	2.10254606865	28.9861033349	0.395
总共	85.2299939574	-32.4657237836	0.657
但愿人长久	-85.3382825908	54.4171982133	0.696
得知	41.9334946575	49.7040737316	0.482
躁动不安	22.0643889145	8.00152431412	0.504
家国	-44.5691250098	1.71817084372	0.415
不再	77.8807441356	8.07285184361	0.508
已经	75.3467711578	20.3244537465	0.590
小女儿	75.7252363387	-80.0082464452	0.762
不过	72.1397198902	14.5182442081	0.812
王中言	-81.5139746611	55.8629593842	0.602
何必	-89.8989487955	47.73965854	0.651
球	-91.722558764	-14.1133031895	0.413
不远	19.442430507	-30.696133723	0.473
心声	-67.6405395989	56.5971884355	0.560
胸痛	27.8660308604	11.1368555482	0.793
脑子里	7.09115664858	49.967745948	0.503
单独	-39.4587249067	-27.5029530972	0.396
亲友	64.6264482739	-77.2870748697	0.517
起来	-2.28310267998	20.2179932161	0.526
日后	57.7015956151	30.2812945744	0.487
第五版	-14.995369589	-100.79949962	0.719
极其	39.9529453349	-49.6777182341	0.638
为了	28.5315579535	83.1363339897	0.446
信仰者	-53.2166685978	95.4747780225	0.640
上半年	75.6103910593	38.0681507635	0.736
历劫	-74.2180014075	-3.5019880159	0.396
领略	-21.3396655503	30.7690652943	0.535
不舍	-6.34391391007	48.9998214468	0.624
针管	10.4036004448	-23.4267095832	0.593
明明白白	-69.5600779486	56.2853961591	0.497
那么	70.5417796973	-1.37996081934	0.632
忘记	-60.0193868367	63.1139162991	0.632
佣金	-32.8365774379	-86.6248097533	0.476
一一	-76.8590618737	-25.1625278454	0.485
古谷枫	-37.7608441188	-6.86745107798	0.427
私立学校	45.2102332795	-90.9739008738	0.599
心中	11.7960504242	47.0631363599	0.486
小克合	-45.1073237551	-8.97558188824	0.470
从而	67.668272103	20.9709357625	0.466
惊讶	26.6175060777	53.3394616722	0.680
口起	-23.457390593	-40.7000220714	0.532
大人	-12.3647613313	4.52355034177	0.529
看着	6.98133503685	85.1167775259	0.490
所著	8.99410237225	-87.7587914151	0.581
这是	43.1089397808	2.01533130265	0.612
风邪	-52.2325193792	-57.6915076683	0.504
驿动	-64.5113742287	45.3892173687	0.511
