word	x	y	nearest
星	30.1456930801	-25.7142469884	0.578
废物利用	0.60646969743	-33.0096962852	0.504
尽心尽力	-39.9740011941	44.4114258638	0.546
情绪	-1.70329885957	72.8581261365	0.649
伙伴	30.0606849056	-15.8260671815	0.539
尽力	-39.9324761602	44.3367658601	0.546
半集	-0.339843073	-55.8795329599	0.589
火舞	40.0704876353	-34.9805601825	0.564
相当	-11.3092159726	80.3765902499	0.517
要	-82.0827374954	27.1099790177	0.667
诗歌	49.8612096218	-61.5161656947	0.555
新	5.18938562119	-21.5210120426	0.452
当中	-40.9664427543	-21.5097514779	0.646
她	-11.5153500301	33.0492099281	0.786
古远清	49.0075370764	-49.7248769559	0.647
时代	20.1495288587	-20.3526135937	0.474
点缀	3.14241264112	-49.0200436239	0.591
开始	-37.7397840239	-5.16110215127	0.545
中	-36.635010838	-20.4960072204	0.513
归向	10.3905072377	16.8268389262	0.643
充沛	-29.2796287519	-36.3656742198	0.609
断恶	9.81829648754	-4.23646957033	0.452
刘斯嵋	21.4000782258	-40.9955836705	0.628
相识	69.2969438495	43.1201031235	0.673
孔中	-3.35830478884	-32.0603228736	0.625
囚鸟	60.1772353679	19.664449558	0.632
现实生活	80.1617976377	-15.0338721553	0.483
回去	-14.1253554956	43.10223053	0.663
番	24.6004334316	-22.7730397388	0.524
仍	-67.3827321907	22.4451880917	0.832
嘉恩是	3.22271216723	-9.68270816166	0.455
他	-12.0456239174	32.7624935364	0.786
小格子	3.25557891407	-29.6238261885	0.540
头发	-59.1498070971	72.774373626	0.705
易	-15.4115532636	-27.2051634455	0.458
剧情	17.9266883785	-81.8174903651	0.709
分给	-31.0029291485	38.9334336741	0.444
天堂	41.2286309702	-3.02143962621	0.461
心	49.2180058653	26.2938276994	0.559
令	-50.8477087077	13.0583919967	0.578
以	-26.8882733538	-10.4262832083	0.568
幸福快乐	7.99400149236	26.4985658786	0.641
直爽	-20.6099233171	78.4128939514	0.754
接纳	-51.8251112148	28.746435687	0.577
津轻为	-13.8382793638	12.7913419803	0.409
会	-81.3035640731	14.6090346921	0.545
们	5.99652832921	21.7643908278	0.516
般的	-27.4229711702	27.7488428882	0.526
二十多天	10.5211412883	-43.7931121384	0.623
他们	-11.8422177937	30.4990992923	0.694
谢意	14.9192491233	31.9884114785	0.477
出版	43.6314750365	-59.563581754	0.721
南美洲	-59.9082800193	-66.8030642294	0.710
人生	52.1815612612	23.9536134741	0.666
交谈	45.7727110448	72.91958868	0.629
作为	-25.9250193763	-12.2714217543	0.467
一将	46.52378949	-15.1652144603	0.490
字间	1.17879484748	-35.5179838605	0.612
疲惫	-6.39749107158	51.6135908828	0.522
眼睛	-59.1536346559	72.7771371855	0.705
很要	7.90923441754	36.2097319058	0.648
储藏室	-4.53743779688	3.0351234774	0.527
看中	5.43372197715	31.0666649091	0.494
施立	61.284716743	21.3136916289	0.560
